timestamp,Green1 Count,Green2 Count
1181,168474,160079
1182,168449,160037
1183,168426,160056
1184,168400,160090
1185,168395,160116
1186,168421,160180
1187,168448,160237
1188,168515,160313
1189,168600,160383
1190,168677,160429
1191,168735,160458
1192,168652,160404
1193,168439,160271
1194,168216,160234
1195,168026,160164
1196,167880,160145
1197,167806,160215
1198,167754,160288
1199,167683,160316
1200,167638,160356
1201,167619,160379
1202,167625,160439
1203,167661,160526
1204,167704,160591
1205,167778,160670
1206,167863,160738
1207,167945,160815
1208,167929,160807
1209,167764,160725
1210,167547,160664
1211,167350,160598
1212,167193,160562
1213,167092,160546
1214,167017,160559
1215,167025,160571
1216,166978,160603
1217,167001,160654
1218,167019,160699
1219,167058,160740
1220,167097,160825
1221,167163,160928
1222,167238,161026
1223,167331,161107
1224,167430,161155
1225,167412,161157
1226,167257,161095
1227,167070,161069
1228,166861,161006
1229,166740,160986
1230,166671,160987
1231,166652,161008
1232,166625,161042
1233,166603,161073
1234,166609,161122
1235,166637,161165
1236,166682,161246
1237,166742,161324
1238,166820,161413
1239,166915,161516
1240,167004,161563
1241,167112,161608
1242,167189,161652
1243,167156,161621
1244,166985,161495
1245,166818,161443
1246,166692,161409
1247,166599,161344
1248,166574,161337
1249,166591,161393
1250,166591,161398
1251,166612,161443
1252,166631,161449
1253,166698,161479
1254,166779,161532
1255,166885,161633
1256,166992,161745
1257,167110,161840
1258,167193,161876
1259,167341,161928
1260,167486,162012
1261,167523,162047
1262,167391,161983
1263,167258,161905
1264,167138,161836
1265,167067,161827
1266,167024,161828
1267,167032,161872
1268,167038,161911
1269,167060,161967
1270,167087,162013
1271,167127,162088
1272,167194,162184
1273,167273,162289
1274,167354,162407
1275,167424,162529
1276,167499,162650
1277,167571,162747
1278,167663,162820
1279,167738,162891
1280,167677,162907
1281,167511,162852
1282,167343,162774
1283,167212,162719
1284,167130,162701
1285,167079,162712
1286,167065,162725
1287,167055,162753
1288,167050,162789
1289,167049,162813
1290,167087,162873
1291,167135,162944
1292,167201,163029
1293,167285,163121
1294,167350,163195
1295,167444,163237
1296,167543,163232
1297,167641,163249
1298,167672,163234
1299,167552,163133
1300,167459,163006
1301,167384,162906
1302,167335,162853
1303,167351,162831
1304,167413,162831
1305,167468,162841
1306,167498,162862
1307,167558,162877
1308,167635,162905
1309,167727,162940
1310,167848,162986
1311,167958,163046
1312,168097,163116
1313,168214,163159
1314,168353,163185
1315,168475,163202
1316,168515,163204
1317,168440,163105
1318,168292,163003
1319,168237,162897
1320,168193,162818
1321,168188,162764
1322,168206,162751
1323,168252,162753
1324,168322,162771
1325,168360,162788
1326,168425,162798
1327,168508,162841
1328,168611,162886
1329,168724,162930
1330,168828,162988
1331,168940,163031
1332,169068,163047
1333,169192,163068
1334,169251,163062
1335,169144,162938
1336,169010,162788
1337,168918,162647
1338,168828,162495
1339,168785,162432
1340,168788,162376
1341,168771,162342
1342,168808,162311
1343,168785,162274
1344,168862,162265
1345,168889,162260
1346,168960,162279
1347,169047,162300
1348,169124,162338
1349,169207,162345
1350,169301,162376
1351,169365,162350
1352,169442,162350
1353,169421,162267
1354,169275,162077
1355,169104,161874
1356,168948,161684
1357,168830,161537
1358,168744,161421
1359,168687,161346
1360,168619,161260
1361,168540,161179
1362,168475,161131
1363,168428,161056
1364,168398,161023
1365,168382,160993
1366,168373,160977
1367,168374,160975
1368,168366,160924
1369,168388,160881
1370,168416,160842
1371,168424,160816
1372,168294,160674
1373,168100,160452
1374,167891,160229
1375,167702,160073
1376,167553,159915
1377,167441,159790
1378,167344,159692
1379,167261,159615
1380,167167,159567
1381,167086,159522
1382,167027,159490
1383,166978,159483
1384,166928,159483
1385,166905,159515
1386,166901,159534
1387,166868,159526
1388,166862,159484
1389,166854,159482
1390,166757,159412
1391,166543,159260
1392,166276,159054
1393,166051,158925
1394,165817,158798
1395,165632,158677
1396,165500,158595
1397,165364,158510
1398,165217,158404
1399,165101,158276
1400,165009,158149
1401,164946,158076
1402,164923,157987
1403,164926,157932
1404,164951,157875
1405,165006,157802
1406,165073,157692
1407,165132,157582
1408,165082,157365
1409,164968,157094
1410,164863,156863
1411,164784,156693
1412,164716,156551
1413,164714,156420
1414,164741,156317
1415,164773,156238
1416,164780,156181
1417,164812,156143
1418,164843,156096
1419,164901,156041
1420,164970,156002
1421,165049,155999
1422,165114,156002
1423,165178,155967
1424,165253,155921
1425,165254,155840
1426,165121,155602
1427,164941,155334
1428,164743,155113
1429,164532,154883
1430,164370,154705
1431,164257,154534
1432,164177,154379
1433,164132,154229
1434,164086,154125
1435,164064,154041
1436,164060,153983
1437,164051,153910
1438,164042,153835
1439,163858,153833
1440,163748,154120
1441,164066,154266
1442,164499,154357
1443,164887,154264
1444,164917,154019
1445,164759,153968
1446,164548,153639
1447,164389,153294
1448,164346,153150
1449,164426,153072
1450,164512,152904
1451,164643,152723
1452,164757,152601
1453,164833,152578
1454,164844,152588
1455,164839,152571
1456,164906,152631
1457,164953,152549
1458,165045,152410
1459,165148,152287
1460,165224,152136
1461,165240,151978
1462,165148,151773
1463,164968,151528
1464,164753,151239
